"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Automatic Detection of Subsidence Troughs in SAR Interferograms Based on Convolutional Neural Networks","P. Rotter; W. Muron","Department of Automatic Control and Robotics, AGH University of Science and Technology, 30-059 Kraków, Poland. (e-mail: rotter@agh.edu.pl); Department of Automatic Control and Robotics, AGH University of Science and Technology, 30-059 Kraków, Poland.","IEEE Geoscience and Remote Sensing Letters","","2020","PP","99","1","5","In this letter, we present research on automatic detection of subsiding troughs caused by underground coal exploitation using deep convolutional neural networks. The problem differs from typical object detection tasks. Many troughs are hardly visible, and even a careful human annotator overlooks many of them in large and noisy synthetic aperture radar (SAR) images. For this reason, the training set in incomplete, and some troughs correctly found by the network are regarded as false detections, so training is ineffective. We proposed interactive completion of the data set in the training process, and this was crucial for proper training of the network. We developed two alternative systems. The first is based on single-shot detection (SSD) architecture with a VGG network, which achieved an area-under-curve (AUC) value of 0.89. The second, based on TinyYOLOv2, had an AUC value of 0.87 but was more than 10 times faster. Based on the related literature, the proposed systems are first detectors of subsiding troughs in SAR interferograms, the performance of which surpasses human ability of detection and is sufficient for fully automatic, unsupervised operation.","1558-0571","","10.1109/LGRS.2020.2966079","Polish Ministry of Science and Higher Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8967084","Deep convolutional networks;image analysis;object detection;subsidence troughs;synthetic aperture radar (SAR).","Synthetic aperture radar;Training;Task analysis;Radar polarimetry;Strain;Noise measurement;Interferometry","","","","","","","","","","IEEE","IEEE Early Access Articles"
"A novel method to explore intrarenal arterial tree using micro-CT","K. Heryan; J. Skrzat; J. Tarasiuk; S. Wroński","Department of Measurement and Electronics, AGH University of Science and Technology, Cracow, Poland; Medical College Department of Anatomy, Jagiellonian University, Cracow, Poland; Department of Measurement and Electronics, AGH University of Science and Technology, Cracow, Poland; Department of Measurement and Electronics, AGH University of Science and Technology, Cracow, Poland","2018 IEEE International Conference on Imaging Systems and Techniques (IST)","","2018","","","1","6","The minimally invasive approach for renal surgeries, among others, requires preoperative determination of intrarenal arteries. Their proper identification based on standard preoperative CT images is still not a fully solved problem. Therefore, we decided to resolve this issue by providing a tree topology model using post-mortem kidneys. The number of vessels that compose intrarenal tree is so large, that it cannot by analyzed manually without the aid of image processing techniques. So that, the vessels has to be first depicted using an imaging technique that enables to provide superior resolution in comparison to standard CT scan. In this paper, we present a research on various injection materials enabling to fill the vascular beds in order to scan them using micro-CT and further reconstruct as a 3D model. The evaluated materials were chosen so that they are widely available and affordable. We compare them in terms of their ability to absorb ionizing radiation and penetrate vascular beds (density, viscosity), homogeneity, solidification rate, resistance to solvents and durability. We also present the technique of injecting kidney arteries with the use of the selected material two-part epoxy adhesive with 10% iodine. In contrast to standard corrosive endocast preparation, in our case there is no need to remove soft parenchymal tissue which takes about two weeks using corrosive materials such as strong acids and bases. The proposed filling material enables to enhance vascular tree to such extend that micro-CT scans of the whole kidneys can be performed. This enables instantaneous substance injection and imaging without permanently destroying the soft tissue material. This approach can be used in various scenarios in which a filling material with the ability to increase radiation absorption is required and there is a need to maintain the integrity of the structure. To the best of our knowledge, this is the first such attempt. The obtained vascular trees by the means of micro-CT confirm the validity of the presented approach.","1558-2809","978-1-5386-6628-9","10.1109/IST.2018.8577164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8577164","micro-CT;3D vascular tree;kidney;injection materials;cast;contrast agents;ability to absorb ionizing radiation;kidney surgery;minimally invasive surgery.","Kidney;Filling;Surgery;Arteries;Standards;Needles;Ionizing radiation","blood vessels;computerised tomography;image reconstruction;image resolution;kidney;medical image processing;solidification","renal surgeries;preoperative determination;standard preoperative CT images;tree topology model;post-mortem kidneys;intrarenal tree;image processing techniques;imaging technique;injection materials;vascular beds;kidney arteries;corrosive materials;strong acids;filling material;microCT scans;instantaneous substance injection;soft tissue material;vascular trees;intrarenal arterial tree;minimally invasive approach;two-part epoxy adhesive;computed tomography;3D model;ionizing radiation;solidification rate","","","10","","","","","IEEE","IEEE Conferences"
"A Scalable, Reactive Architecture for Cloud Applications","A. Debski; B. Szczepanik; M. Malawski; S. Spahr; D. Muthig","AGH University of Science and Technology; AGH University of Science and Technology; AGH University of Science and Technology; Lufthansa Systems; Lufthansa Systems","IEEE Software","","2018","35","2","62","71","As cloud infrastructures gain popularity, new concepts and design patterns such as Command Query Responsibility Segregation (CQRS) and Event Sourcing (ES) promise to facilitate the development of scalable applications. Despite recent research and the availability of many blogs and tutorials devoted to these topics, few reports on real-world implementations exist that provide experimental insight into their scalability. To bridge this gap, researchers developed an architecture that exploits both CQRS and ES in accordance with Reactive Manifesto guidelines. Using that architecture, they implemented a prototype interactive flight-scheduling application to investigate this approach's scalability. A performance evaluation in a cloud environment of 15 virtual machines demonstrated the CQRS and ES patterns' horizontal scalability, observed independently for the application's read and write models. This article explains how to assemble this type of architecture, first on a conceptual level and then with specific technologies including Akka, Cassandra, Kafka, and Neo4J. A reference implementation is available as an open-source project. This approach provides many interesting advantages without compromising performance, so its rapid adoption by the industry seems likely.","1937-4194","","10.1109/MS.2017.265095722","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7950867","scalability;Command Query Responsibility Segregation;CQRS;Event Sourcing;domain-driven design;reactive;Akka;flight scheduling;Reactive Manifesto;software engineering;software development","Cloud computing;Computer architecture;Scalability;Load modeling;Query processing","cloud computing;query processing;software architecture;virtual machines;Web sites","CQRS;ES;reference implementation;open-source project;cloud applications;design patterns;scalable applications;blogs;tutorials;Reactive Manifesto guidelines;prototype interactive flight-scheduling application;performance evaluation;cloud environment;virtual machines;pattern horizontal scalability;command query responsibility segregation;event sourcing","","1","8","","","","","IEEE","IEEE Magazines"
"Speech/music discrimination for analysis of radio stations","S. Kacprzak; B. Chwiećko; B. Ziółko","Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Al. Mickiewicza 30, 30-059, Kraków, Poland; Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Al. Mickiewicza 30, 30-059, Kraków, Poland; Faculty of Computer Science, Electronics and Telecommunications, AGH University of Science and Technology, Al. Mickiewicza 30, 30-059, Kraków, Poland","2017 International Conference on Systems, Signals and Image Processing (IWSSIP)","","2017","","","1","4","A computationally efficient feature, called Minimum Energy Density (MED) was applied to discriminate audio signals between speech and music in the radio stations programs. The presented binary classifier is based on testing two features: energy distribution and differences between energy in channels. We analyzed 240 hours of signals, from 10 Polish radio stations. Our analysis enables us to provide information about content of particular radio stations.","2157-8702","978-1-5090-6344-4","10.1109/IWSSIP.2017.7965606","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965606","speech/music discrimination;sound classification;radio content analysis","Speech;Multiple signal classification;Frequency modulation;Speech processing;Rocks;Multimedia communication","audio signal processing;music;radio stations;signal classification;speech processing;telecommunication computing","speech/music discrimination;radio station analysis;minimum energy density;MED;audio signals;binary classifier;energy distribution;energy differences;Polish radio stations;time 240 hour","","","19","","","","","IEEE","IEEE Conferences"
"Receiver Originated Noise Immunity of PLC OSGP Protocol","J. Stepien; W. Machowski; A. Tarnawski; J. Kolodziej","Department of Electronics, AGH University of Science and Technology, Krakow, Poland; Department of Electronics, AGH University of Science and Technology, Krakow, Poland; Zakład Systemow Komputerowych, Krakow, Poland; Department of Electronics, AGH University of Science and Technology, Krakow, Poland","2018 14th Selected Issues of Electrical Engineering and Electronics (WZEE)","","2018","","","1","5","Data transmission efficacy depends on interference noise within the transmission band. This apply in particular for smart electric meters using powerline as the transmission medium. The results of laboratory tests of receiver originated noise for the most popular in Poland PLC-OSGP protocol are reported in the paper. Experimentally measured frequency responses for the home appliances potentially influencing the PLC transmission quality are also presented.","","978-1-5386-8299-9","10.1109/WZEE.2018.8748974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8748974","Power Line Communication;Narrowband PLC transmission;OSGP;OFDM;smart meters","Protocols;Meters;Interference;Light emitting diodes;Home appliances;Narrowband;Probes","carrier transmission on power lines;frequency response;interference (signal);power engineering computing;protocols;smart meters;smart power grids","PLC OSGP protocol;interference noise;transmission band;smart electric meters;powerline;Poland PLC-OSGP protocol;noise immunity;PLC transmission","","","7","","","","","IEEE","IEEE Conferences"
"Estimation of varying bandwidth from multiple level crossings of stochastic signals","D. Rzepka; M. Pawlak; M. Miśkowicz; D. Kościelnik","Department of Electronics, AGH University of Science and Technology, Kraków, Poland; Department of Electrical and Computer Engineering, University of Manitoba, Winnipeg, Canada; Department of Measurement and Electronics, AGH University of Science and Technology, Kraków, Poland; Department of Electronics, AGH University of Science and Technology, Kraków, Poland","2017 International Conference on Sampling Theory and Applications (SampTA)","","2017","","","313","317","This papers examines the problem of a local bandwidth recovery for non-stationary stochastic signals when the only available information is given in terms of level crossings. The use of multiple level crossings is a fundamental paradigm for the recently investigated event-based sampling approach. In fact, level crossings allows us to exploit local signal properties and to avoid unnecessarily fast sampling when the local signal intensity is low. The paper proposes the least-square based method for the local intensity estimation from level crossings for the class of signals being the time-warped version of the stationary and bandlimited Gaussian processes. This result is then related to the concept of the local mean bandwidth and finally to the local power bandwidth. The smooth convolution estimate of the local intensity is proposed and its positivity corrected version is introduced. The latter is achieved by the truncation argument and next by the method of alternating projections onto convex sets.","","978-1-5386-1565-2","10.1109/SAMPTA.2017.8024457","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8024457","","Radar","Gaussian processes;least squares approximations;signal reconstruction;signal sampling","bandwidth estimation;stochastic signals;local bandwidth recovery;multiple level crossings;event-based sampling;least-square based method;local intensity estimation;Gaussian processes","","","10","","","","","IEEE","IEEE Conferences"
"Investigation of overvoltages in distribution transformers","M. Florkowski; M. Kuniewski; J. Furgał; P. Pająk","ABB Corporate Research Center, Kraków, Poland; Dep. of Electrical Engineering and Electrical Power, AGH University of Science and Technology, Kraków, Poland; Dep. of Electrical Engineering and Electrical Power, AGH University of Science and Technology, Kraków, Poland; Dep. of Electrical Engineering and Electrical Power, AGH University of Science and Technology, Kraków, Poland","2017 18th International Scientific Conference on Electric Power Engineering (EPE)","","2017","","","1","4","Nowadays voltage transients in electrical power systems can take different shapes related to properties of distortion source and physical phenomenon appearing in systems. Usually overvoltages contain oscillation components of different frequencies, which are propagating along lines reaching transformer terminals. Overvoltages impact power transformer insulation systems in spite of used overvoltage protection. Analysis of overvoltages in winding insulation systems have strong importance in proper and reliable work of transformers. Due to complex configuration of transformer winding different overvoltages levels can occur inside winding than at winding terminals. This article presents investigation of internal overvoltages in distribution transformer windings. Analysis was based on measurements results of transient voltages and frequency characteristics. Investigation of resonance frequencies based on winding admittance measurements was made also.","","978-1-5090-6406-9","10.1109/EPE.2017.7967288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7967288","distribution transformers;insulation systems;overvoltages","Surges;Windings;Resonant frequency;Frequency measurement;Voltage measurement;Surge protection;Power transformer insulation","electric admittance measurement;overvoltage protection;power transformer insulation;power transformer protection;transformer windings;voltage measurement","electrical power system;voltage transient;distortion source;physical phenomenon;oscillation component;transformer terminal;power transformer insulation system;overvoltage protection;winding insulation system;distribution transformer winding;transient voltage measurement;frequency characteristics;winding admittance measurement;resonance frequencies","","","16","","","","","IEEE","IEEE Conferences"
"Dynamic sliceable optical bypasses in SDN-based networks","E. Biernacka; J. Domzal; R. Wójcik","AGH University of Science and Technology, Department of Telecommunications, Al. Mickiewicza 30, 30-059 Kraków, Poland; AGH University of Science and Technology, Department of Telecommunications, Al. Mickiewicza 30, 30-059 Kraków, Poland; AGH University of Science and Technology, Department of Telecommunications, Al. Mickiewicza 30, 30-059 Kraków, Poland","2017 19th International Conference on Transparent Optical Networks (ICTON)","","2017","","","1","4","The growth of Internet traffic requires new strategies to offload congested Internet Protocol (IP) links. The introduction of sliceable optical networks resulted in appurtenance of new possibilities to manage this problem. In this paper, a dynamic sliceable optical bypassing policy is proposed to omit congested IP links in the software-defined networking (SDN) architecture. The experimental verification of the proposed method have shown that implementation of the analyzed strategy improves IP transmission with reduced usage of IP resources. The use of a SDN-based centralized controller allows to introduce different portions of resources available at sliceable and IP layers. Considering the sliceable optical layer for offloading transmission makes the presented concept ready for the future Internet traffic.","2161-2064","978-1-5386-0859-3","10.1109/ICTON.2017.8024962","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8024962","sliceable optical layer;bypassing policy;centralized controller;SDN","IP networks;Transponders;Integrated optics;Bandwidth;Network topology;Optical fiber networks","IP networks;optical fibre networks;software defined networking;telecommunication traffic","congested Internet protocol link offloading;sliceable optical layer;SDN-based centralized controller;IP resources;IP transmission;Internet traffic;SDN-based networks;software-defined networking architecture;dynamic sliceable optical bypassing policy","","","8","","","","","IEEE","IEEE Conferences"
"Spin-Torque Oscillator Read Head in Inhomogeneous Magnetic Fields","J. Chęciński; M. Frankowski; T. Stobiecki","Department of Electronics, AGH University of Science and Technology, Kraków, Poland; Department of Electronics, AGH University of Science and Technology, Kraków, Poland; Department of Electronics, AGH University of Science and Technology, Kraków, Poland","IEEE Transactions on Magnetics","","2017","53","4","1","6","Spin-torque oscillators (STOs) are the candidates for a novel class of magnetic field sensors, suitable especially for magnetic media read head purposes. While a number of investigations on the STO readout ability have been reported, comparatively little attention has been paid to the issue of its behavior in highly inhomogeneous magnetic fields, i.e., generated by densely stored magnetic media. We examine the theoretical limits for the STO technology usage for sensor applications, using both a general auto-oscillator model and a micromagnetic simulations framework. We find that the deterioration of the output signal may lead to significant readout errors already for the bit width of a few nanometers, which is close to the current state-of-the-art in the data storage industry.","1941-0069","","10.1109/TMAG.2016.2611652","National Science Center Poland; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7572204","Magnetic hard disks;magnetic sensors;micromagnetics;spin-torque oscillator","Oscillators;Magnetic tunneling;Magnetomechanical effects;Magnetic sensors;Media;Mathematical model","magnetic fields;micromagnetics;sensors","spin-torque oscillator read head;inhomogeneous magnetic fields;STO readout ability;densely stored magnetic media;STO technology usage;sensor applications;general auto-oscillator model;micromagnetic simulations framework;data storage industry","","3","49","","","","","IEEE","IEEE Journals"
"Microstrip and gas electron multiplier readout ASIC for physics experiment at FAIR","K. Kasinski; W. Zubrzycka; R. Szczygiel","AGH University of Science and Technology, Department of Measurement and Electronics, Av. Mickiewicza 30, Cracow, Poland; AGH University of Science and Technology, Department of Measurement and Electronics, Av. Mickiewicza 30, Cracow, Poland; AGH University of Science and Technology, Department of Measurement and Electronics, Av. Mickiewicza 30, Cracow, Poland","2017 MIXDES - 24th International Conference "Mixed Design of Integrated Circuits and Systems","","2017","","","285","289","The Compressed Baryonic Matter experiment at Facility for Antiproton and Ion Research in Darmstadt, Germany, will include detector systems aimed for different products of particle collisions. The readout electronics design including Analog Front-End for such applications should provide flexible configuration possibilities for different operation conditions in harsh environmental conditions. We report on preliminary test results of a 128-channel prototype self-triggered amplitude and time measurement integrated circuit, STS/MUCH-XYTER2 (Silicon Tracking System / Muon Chamber - X - Y - Time Energy Readout). It is designed to operate with double-sided silicon microstrip sensors (in conjunction with long, micro-cables) and gas electron multiplier detectors with capacitances ranging from 25 up to 60 pF.","","978-83-63578-12-1","10.23919/MIXDES.2017.8005217","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8005217","radiation detectors;multichannel front end electronics for detector readout;VLSI electronics;analogue electronic circuits","Integrated circuits;Software","application specific integrated circuits;detector circuits;electron multipliers;microstrip circuits;readout electronics","gas electron multiplier detector;readout ASIC;physics experiment;FAIR;compressed baryonic matter experiment;Darmstadt;Germany;facility for antiproton and ion research;particle collisions;readout electronics design;analog front-end;128-channel prototype self-triggered amplitude;time measurement integrated circuit;STS-MUCH-XYTER2;tracking system-muon chamber-X-Y-time energy readout;double-sided silicon microstrip sensors","","","12","","","","","IEEE","IEEE Conferences"
"The Waste Heat Processing System with the Stirling Engine and Doubly Fed Induction Generator","T. Lerch; P. Dybowski; T. Drabek","AGH University of Science and Technology, Kraków, Poland; AGH University of Science and Technology, Kraków, Poland; AGH University of Science and Technology, Kraków, Poland","2018 International Symposium on Electrical Machines (SME)","","2018","","","1","6","The article presents the concepts of the use of the Stirling engine cooperating with the doubly fed induction generator (DFIG) in the processing of waste heat energy. The research was carried out on a mathematical model consisting of DFIG and Striling engine. The results of simulation studies presented in the article confirm the effectiveness of this solution. Advantages of DFIG makes this solution is more efficient and cost competitive than systems using a synchronous machine.","","978-1-5386-5210-7","10.1109/ISEM.2018.8442752","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8442752","induction motors;heat engines;Stirling engines;waste heat","Stirling engines;Waste heat;Doubly fed induction generators;Mathematical model","asynchronous generators;Stirling engines;waste heat","DFIG;Stirling engine;doubly fed induction generator;waste heat energy processing system;mathematical model","","","21","","","","","IEEE","IEEE Conferences"
"Autonomous position control of multi-unmanned aerial vehicle network designed for long range wireless data transmission","S. P. Yamaguchi; F. Karolonek; T. Emaru; Y. Kobayashi; T. Uhl","Department of Robotics and Mechatronics, AGH University of Science and Technology, Cracow, Poland; Department of Robotics and Mechatronics, AGH University of Science and Technology, Cracow, Poland; Laboratory of Robotics and Dynamics, Faculty of Engineering, Hokkaido University, Sapporo, Japan; Laboratory of Robotics and Dynamics, Faculty of Engineering, Hokkaido University, Sapporo, Japan; Department of Robotics and Mechatronics, AGH University of Science and Technology, Cracow, Poland","2017 IEEE/SICE International Symposium on System Integration (SII)","","2017","","","127","132","In recent decade, potential application of Unmanned Aerial Vehicles (UAV) has enabled replacement of various operations in hard-to-access areas, such as: inspection, surveillance or search and rescue application in challenging environments. One of the major challenge in this area is the limited range of wireless data transmission within legally allowable frequency and transmission power. This research presents the concept development of the multi-UAV system responsible for long range wireless transmission with heavy payload data by means of multi-UAV communication relay algorithm applied within Robot Operating System (ROS). The proposed system applies GPS based autonomous position control of drones, such as quadrotors, with mobile signal repeaters (MSRs) responsible for retransmitting data collected by the UAV operating with search and surveillance missions. The proposed system enables creation of autonomous network by utilizing swarm control of MSR positioning depending on the communication quality. The elaboration of the system incorporates the safety requirement of the UAV application. The system is intended to be modular, easy to customize and extendable for further development to establish more universal applications of UAV based systems in terms of aerial robotics. This article presents the proposed design concept as well as simulations tests.","2474-2325","978-1-5386-2263-6","10.1109/SII.2017.8279200","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8279200","","Unmanned aerial vehicles;Surveillance;Wireless communication;Robots;Inspection;Data communication;Payloads","aircraft communication;autonomous aerial vehicles;Global Positioning System;position control;radio repeaters;rescue robots","wireless data transmission;multiUAV system;heavy payload data;multiUAV communication relay algorithm;Robot Operating System;GPS based autonomous position control;mobile signal repeaters;surveillance missions;autonomous network;communication quality;UAV application;universal applications;UAV based systems;aerial robotics;design concept;multiunmanned aerial vehicle network;Unmanned Aerial Vehicles;hard-to-access areas;rescue application","","","16","","","","","IEEE","IEEE Conferences"
"Multiphase System of Coils as Illustrated by Magnetotherapy","P. Syrek; M. Skowron; A. Ciesla","Department of Electrical and Power Engineering, AGH University of Science and Technology, Krakow, Poland; Department of Electrical and Power Engineering, AGH University of Science and Technology, Krakow, Poland; Department of Electrical and Power Engineering, AGH University of Science and Technology, Krakow, Poland","2019 11th International Symposium on Advanced Topics in Electrical Engineering (ATEE)","","2019","","","1","4","This paper present coil arrays. This array induces magnetic field within the human body. The aim is to obtain magnetic field of relatively high homogeneity. Instead of one coil, set of 8 coils separately fed are proposed. The results obtained by feeding the coil with different currents and different phase angle are better than result for one coil but they are not spectacular and involve some disadvantages. Every proposed solution was optimized by Particle Swarm Optimization's implementation.","2159-3604","978-1-7281-0101-9","10.1109/ATEE.2019.8724931","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8724931","Magnetic field;magnetotherapy;particle swarm optimization;PSO","Coils;Magnetic separation;Magnetic resonance;Optimization;Particle swarm optimization;Bones;Electrical engineering","biomagnetism;biomedical electronics;coils;particle swarm optimisation","magnetic field array;coil arrays;multiphase system;magnetotherapy;particle swarm optimization","","","28","","","","","IEEE","IEEE Conferences"
"Embedded vision system for pedestrian detection based on HOG+SVM and use of motion information implemented in Zynq heterogeneous device","B. Meus; T. Kryjak; M. Gorgon","AGH University of Science and Technology Krakow, Poland; AGH University of Science and Technology Krakow, Poland; AGH University of Science and Technology Krakow, Poland","2017 Signal Processing: Algorithms, Architectures, Arrangements, and Applications (SPA)","","2017","","","406","411","Pedestrian detection is a very important application of embedded real-time vision systems. It is essential in Advanced Driver Assistance Systems (ADAS) and Advanced Video Surveillance Systems (AVSS). The most widely used method involves a combination of Histogram of Oriented Gradients (HOG) features and Support Vector Machine (SVM) classifier. It offers quite high detection accuracy at the cost of high computational complexity. Therefore, it is impossible to use GPP-based (General Purpose Processor) embedded systems for this application. In this paper a hardware-software HOG+SVM pedestrian detection system implemented in a heterogeneous Xilinx Zynq device is presented. The base algorithm is supported with detection grouping and tracking procedures. They increase the performance of the solution, especially in case of temporal partially occluded or vague visible objects. The system is able to process a 1280 × 720 @ 60 fps video stream in real-time.","2326-0319","978-83-62065-30-1","10.23919/SPA.2017.8166901","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8166901","","Histograms;Streaming media;Support vector machines;Signal processing algorithms;Real-time systems;Field programmable gate arrays","computer vision;driver information systems;embedded systems;feature extraction;image classification;image motion analysis;object detection;pedestrians;support vector machines;traffic engineering computing;video signal processing;video streaming;video surveillance","heterogeneous Xilinx Zynq device;embedded vision system;motion information;Zynq heterogeneous device;real-time vision systems;Advanced Driver Assistance Systems;Advanced Video Surveillance Systems;Support Vector Machine classifier;computational complexity;General Purpose Processor embedded systems;hardware-software HOG+SVM pedestrian detection;Histogram of Oriented Gradients features;video stream","","3","17","","","","","IEEE","IEEE Conferences"
"Parametric Assessment of Esophageal Speech in Post-Laryngectomy Patients","H. Pamula; M. Gawlik; A. Magdalena Fabczak; W. Wszolek","Department of Mechanics and Vibroacoustics, AGH University of Science and Technology, Krakow, Poland; Department of Mechanics and Vibroacoustics, AGH University of Science and Technology, Krakow, Poland; Regional Polyclinical Hospital (Wojewodzki Szpital Zespolony), Bialystok, Poland; Department of Mechanics and Vibroacoustics, AGH University of Science and Technology, Krakow, Poland","2018 Joint Conference - Acoustics","","2018","","","1","5","In this paper, we present an analysis of esophageal speech recorded for 27 patients after larynx excision. Classical time-frequency parameters were determined and compared with undeformed, natural speech. Next, we described voice source parameters using inverse filtering techniques. Also, an attempt was made to find out useful parameters for esophageal speech quality description. We discovered that some parameters responsible for speech intelligibility are similar to those in the natural human voice. Another conclusion drawn is the possibility of voice quality assessment by using glottal flow characteristics. The results are promising, showing the potential of the proposed methods in monitoring the voice rehabilitation process.","","978-1-5386-7114-6","10.1109/ACOUSTICS.2018.8502437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502437","esophageal speech;glottal flow;speech acoustics","Jitter;Standards;Harmonic analysis;Power harmonic filters;Analysis of variance;Quality assessment;Acoustics","patient monitoring;patient rehabilitation;speech;speech intelligibility;time-frequency analysis","inverse filtering techniques;esophageal speech quality description;speech intelligibility;natural human voice;voice quality assessment;voice rehabilitation process;post-laryngectomy patients;larynx excision;classical time-frequency parameters;undeformed speech;natural speech;voice source parameters;glottal flow characteristics","","","23","","","","","IEEE","IEEE Conferences"
"Synthesis and thermoelectric properties of Cu1.8 S","P. Nieroda; A. Kusior","AGH University of Science and Technology,Faculty of Materials Science and Ceramics,Krakow,Poland; AGH University of Science and Technology,Faculty of Materials Science and Ceramics,Krakow,Poland","2019 19th International Conference on Micro and Nanotechnology for Power Generation and Energy Conversion Applications (PowerMEMS)","","2019","","","1","3","The aim of this study was to determine the influence of synthesis method of $Cu_{1.8}S$ material for its thermoelectric properties. The material was synthesized by hydrothermal and high temperature method and then densified by Spark Plasma Sintering (SPS) technique. Structural, phase and chemical composition analyses were examined with X-ray diffraction (XRD) and scanning electron microscopy (SEM). The investigations of thermoelectric properties, i.e.: electrical conductivity, the Seebeck coefficient and the thermal conductivity, were carried out in the temperature range from RT to 910 K. On the basis of the experimental data, the temperature dependencies of the thermoelectric Figure of merit ZT were calculated. Detailed analysis of all obtained results was performed with additional insight into the role of the synthesis method on received thermoelectric properties. Superionic thermoelectric materials based on $Cu_{2}X$ (X = S, Se, Te) are intensively studied in recent years due to the very high values of their ZT parameter [1]. Unfortunately, their transport properties are unstable because of the high mobility of copper ions [2]. $Cu_{1.8}S$ is much more stable compared to $Cu_{2}S$ and used to be obtained mainly by the mechanical alloying method [3], [4]. In this work, the $Cu_{1.8}S$ material was received by hydrothermal synthesis and high-temperature synthesis, and then their transport properties were examined and compared.","","978-1-7281-5638-5","10.1109/PowerMEMS49317.2019.51289506937","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9080250","","","","","","","4","","","","","IEEE","IEEE Conferences"
"Influence of External and Internal Parameters on the Accuracy of a Mobile Tracking System Based on an IPhone","A. Alk; T. Martin; J. Kozak","Aesculap AG AGH Kraków, Tuttlingen, Germany; Aesculap AG AGH Kraków, Tuttlingen, Germany; Aesculap AG AGH Kraków, Tuttlingen, Germany","2018 IEEE International Conference on Imaging Systems and Techniques (IST)","","2018","","","1","4","For the determination of a fitting rod during pedicle screw surgery, a measuring system consisting of an iPhone 7 and retroreflective markers was developed. In addition to intraoperative use, the system is also applied to track an ultrasound probe for preoperative determination of the Pelvic Tilt. For the intraoperative use of this system it is important to keep a distance of at least 1.5 m from the nonsterile iPhone 7 to the patient. Under operating conditions, the mobile tracking system has to cope with very bright lighting conditions, which makes it difficult to detect the retroreflective markers on the rigid bodies. The influence of the light condition and the distance of the markers to the camera are analyzed in an operating theatre with the possibility of controlling the operating lights to a defined light intensity. In addition to the external settings, the ISO and exposure time settings are changed internally in the mobile tracking system software. In this paper the influence of external and internal parameters on the accuracy of the tracking system is investigated.","1558-2809","978-1-5386-6628-9","10.1109/IST.2018.8577172","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8577172","mobile tracking;3D-reconstruction","Cameras;Fasteners;Ultrasonic imaging;Software;Surgery;Ultrasonic variables measurement;ISO","biomechanics;biomedical ultrasonics;cameras;medical image processing;surgery;telemedicine","fitting rod;pedicle screw surgery;retroreflective markers;bright lighting conditions;mobile tracking system software;light intensity;nonsterile iPhone 7;ultrasound probe;pelvic tilt;distance 1.5 m","","","7","","","","","IEEE","IEEE Conferences"
